Date,Open,High,Low,Close,Adj Close,Volume
2023-04-07,0.085438,0.086098,0.081891,0.082456,0.082456,858234171
2023-04-08,0.082443,0.083826,0.081035,0.081405,0.081405,507929909
2023-04-09,0.081401,0.083825,0.081354,0.083290,0.083290,454428407
2023-04-10,0.083297,0.085272,0.082470,0.084852,0.084852,473882914
2023-04-11,0.084851,0.085710,0.083899,0.084237,0.084237,472611203
2023-04-12,0.084237,0.084429,0.081319,0.083433,0.083433,540510658
2023-04-13,0.083428,0.088381,0.083020,0.087484,0.087484,810485328
2023-04-14,0.087485,0.091116,0.085879,0.088785,0.088785,1007326042
2023-04-15,0.088785,0.090447,0.087653,0.088974,0.088974,463978095
2023-04-16,0.088968,0.091515,0.088231,0.090472,0.090472,594760862
2023-04-17,0.090482,0.094595,0.088577,0.091449,0.091449,1360494890
2023-04-18,0.091458,0.094495,0.090086,0.093989,0.093989,839983343
2023-04-19,0.093988,0.094021,0.086849,0.087868,0.087868,1277738666
2023-04-20,0.087857,0.092972,0.082998,0.083937,0.083937,1950918834
2023-04-21,0.083934,0.084629,0.077517,0.078479,0.078479,853137910
2023-04-22,0.078482,0.080919,0.078313,0.080375,0.080375,396888464
2023-04-23,0.080380,0.080628,0.077437,0.078820,0.078820,365182428
2023-04-24,0.078819,0.079973,0.077569,0.078784,0.078784,392854009
2023-04-25,0.078783,0.079926,0.077756,0.079847,0.079847,343833135
2023-04-26,0.079848,0.083372,0.076151,0.078623,0.078623,722718207
2023-04-27,0.078638,0.080950,0.078527,0.080190,0.080190,435944109
2023-04-28,0.080193,0.080576,0.079423,0.080364,0.080364,258987983
2023-04-29,0.080366,0.081846,0.080303,0.081630,0.081630,268639541
2023-04-30,0.081627,0.081701,0.079628,0.079769,0.079769,264245527
2023-05-01,0.079760,0.079996,0.077628,0.078820,0.078820,325694977
2023-05-02,0.078822,0.079045,0.077832,0.078806,0.078806,234651604
2023-05-03,0.078806,0.080527,0.077328,0.079713,0.079713,306950726
2023-05-04,0.079703,0.079736,0.078156,0.078449,0.078449,255462655
2023-05-05,0.078452,0.081292,0.077910,0.080390,0.080390,335482524
2023-05-06,0.080385,0.080385,0.076439,0.076998,0.076998,341154511
2023-05-07,0.076987,0.077496,0.076693,0.076710,0.076710,205466114
2023-05-08,0.076697,0.077107,0.070946,0.072473,0.072473,459549555
2023-05-09,0.072473,0.073304,0.072288,0.073139,0.073139,249148363
2023-05-10,0.073143,0.074608,0.071320,0.073226,0.073226,344464160
2023-05-11,0.073233,0.073233,0.069567,0.072085,0.072085,325440313
2023-05-12,0.072076,0.072567,0.069724,0.072459,0.072459,365130285
2023-05-13,0.072461,0.072461,0.071473,0.071777,0.071777,150685494
2023-05-14,0.071778,0.072582,0.071422,0.071986,0.071986,136339325
2023-05-15,0.071981,0.073441,0.071198,0.072046,0.072046,225262487
2023-05-16,0.072049,0.073138,0.071182,0.072729,0.072729,191614182
2023-05-17,0.072730,0.075308,0.072466,0.074911,0.074911,327166551
2023-05-18,0.074902,0.074902,0.071909,0.073546,0.073546,308943184
2023-05-19,0.073535,0.073956,0.073162,0.073527,0.073527,168839396
2023-05-20,0.073540,0.073844,0.073225,0.073670,0.073670,115557983
2023-05-21,0.073666,0.073979,0.072082,0.072142,0.072142,142232849
2023-05-22,0.072144,0.073868,0.071133,0.072998,0.072998,210015266
2023-05-23,0.073000,0.073882,0.072572,0.072864,0.072864,160114643
2023-05-24,0.072867,0.072876,0.070062,0.070735,0.070735,240278483
2023-05-25,0.070734,0.070965,0.069224,0.070875,0.070875,195452304
2023-05-26,0.070877,0.071350,0.070443,0.070984,0.070984,162190615
2023-05-27,0.070982,0.073287,0.070915,0.072683,0.072683,152865632
2023-05-28,0.072681,0.073917,0.072199,0.073613,0.073613,190660985
2023-05-29,0.073616,0.073919,0.072831,0.073185,0.073185,157791026
2023-05-30,0.073183,0.073383,0.072275,0.072361,0.072361,248138018
2023-05-31,0.072362,0.072633,0.070842,0.071660,0.071660,189603858
2023-06-01,0.071662,0.072119,0.070882,0.071492,0.071492,163467169
2023-06-02,0.071490,0.073198,0.071168,0.072612,0.072612,172034498
2023-06-03,0.072610,0.072947,0.072334,0.072671,0.072671,112049190
2023-06-04,0.072672,0.073250,0.072466,0.072471,0.072471,135558595
2023-06-05,0.072475,0.072632,0.064828,0.066573,0.066573,506101788
2023-06-06,0.066568,0.071784,0.066112,0.070373,0.070373,428926152
2023-06-07,0.070371,0.070371,0.066878,0.067300,0.067300,278793457
2023-06-08,0.067302,0.068426,0.067154,0.067966,0.067966,167825308
2023-06-09,0.067963,0.070920,0.067626,0.069489,0.069489,274101529
2023-06-10,0.069489,0.070591,0.058536,0.061860,0.061860,975736541
2023-06-11,0.061861,0.062515,0.061303,0.061587,0.061587,235910036
2023-06-12,0.061579,0.061635,0.060404,0.061459,0.061459,210832319
2023-06-13,0.061459,0.062453,0.060764,0.061723,0.061723,204620564
2023-06-14,0.061723,0.062109,0.058949,0.060387,0.060387,248200812
2023-06-15,0.060389,0.061825,0.059796,0.061503,0.061503,218623835
2023-06-16,0.061503,0.062630,0.060952,0.062102,0.062102,198520116
2023-06-17,0.062106,0.062823,0.061835,0.062217,0.062217,153965122
2023-06-18,0.062214,0.063749,0.061605,0.062167,0.062167,243548821
2023-06-19,0.062167,0.062698,0.061696,0.062341,0.062341,149792820
2023-06-20,0.062343,0.063057,0.060911,0.063045,0.063045,190107977
2023-06-21,0.063045,0.066470,0.062965,0.065704,0.065704,370299722
2023-06-22,0.065696,0.069006,0.065550,0.065643,0.065643,406178282
2023-06-23,0.065640,0.069663,0.065534,0.068174,0.068174,319058221
2023-06-24,0.068181,0.068309,0.065700,0.066742,0.066742,276939973
2023-06-25,0.066739,0.067963,0.066545,0.066764,0.066764,191028870
2023-06-26,0.066754,0.066785,0.063879,0.064749,0.064749,266917426
2023-06-27,0.064747,0.065743,0.064553,0.065545,0.065545,212409649
2023-06-28,0.065550,0.065565,0.061584,0.062602,0.062602,274764095
